rank,lambda,mse,rmse
10,0.010000,0.644070,0.802540
10,0.100000,0.586405,0.765771
10,1.000000,1.493306,1.222009
10,10.000000,12.802370,3.578040
20,0.010000,0.685583,0.827999
20,0.100000,0.584875,0.764771
20,1.000000,1.493303,1.222008
20,10.000000,12.802370,3.578040
30,0.010000,0.715021,0.845589
30,0.100000,0.586809,0.766035
30,1.000000,1.493304,1.222008
30,10.000000,12.802370,3.578040
40,0.010000,0.724206,0.851003
40,0.100000,0.587361,0.766395
40,1.000000,1.493304,1.222008
40,10.000000,12.802370,3.578040
50,0.010000,0.746061,0.863748
50,0.100000,0.587283,0.766344
50,1.000000,1.493304,1.222008
50,10.000000,12.802370,3.578040
