rank,lambda,mse,rmse
10,0.010000,0.616382,0.785100
10,0.100000,0.592696,0.769867
10,1.000000,1.493303,1.222008
10,10.000000,12.802370,3.578040
20,0.010000,0.635343,0.797084
20,0.100000,0.588336,0.767031
20,1.000000,1.493303,1.222008
20,10.000000,12.802370,3.578040
30,0.010000,0.653496,0.808391
30,0.100000,0.587741,0.766643
30,1.000000,1.493303,1.222008
30,10.000000,12.802370,3.578040
40,0.010000,0.665102,0.815538
40,0.100000,0.588116,0.766887
40,1.000000,1.493304,1.222008
40,10.000000,12.802370,3.578040
50,0.010000,0.676085,0.822244
50,0.100000,0.587822,0.766695
50,1.000000,1.493303,1.222008
50,10.000000,12.802370,3.578040
