rank,lambda,mse,rmse
10,0.010000,2.820852,1.679539
10,0.100000,3.112132,1.764123
10,1.000000,9.168372,3.027932
10,10.000000,42.359152,6.508391
20,0.010000,1.102809,1.050147
20,0.100000,1.414300,1.189243
20,1.000000,8.322148,2.884813
20,10.000000,42.357561,6.508269
30,0.010000,0.591969,0.769395
30,0.100000,0.881415,0.938837
30,1.000000,8.060744,2.839145
30,10.000000,42.358715,6.508357
40,0.010000,0.355158,0.595951
40,0.100000,0.646980,0.804351
40,1.000000,7.932059,2.816391
40,10.000000,42.355703,6.508126
50,0.010000,0.240749,0.490662
50,0.100000,0.525494,0.724910
50,1.000000,7.846201,2.801107
50,10.000000,42.354593,6.508041
